08:06:30 666	Chargement/loading [ 1 ]
08:07:50 881	GC value sonde ON: 60.9%
08:07:54 672	GC value sonde OFF: 61.0%
08:08:24 327	Door open
08:10:22 560	Chargement/Loading [ 1 ] 904213880 6.3V 6311Hz TR=247Cx10:TC=247Cx10:KT=099870:UR=61%:UC=63%:KU=0000
08:10:23 278	Chargement/loading [ 2 ]
08:11:20 842	GC value sonde ON: 58.3%
08:11:25 537	GC value sonde OFF: 58.7%
08:13:44 705	Chargement/Loading [ 2 ] 904213848 6.2V 6391Hz TR=248Cx10:TC=253Cx10:KT=102104:UR=59%:UC=58%:KU=0000
08:13:45 719	Chargement/loading [ 3 ]
08:14:59 835	GC value sonde ON: 55.8%
08:15:03 610	GC value sonde OFF: 56.1%
08:17:06 195	Chargement/Loading [ 3 ] 904213835 6.2V 6409Hz TR=247Cx10:TC=251Cx10:KT=101632:UR=56%:UC=55%:KU=0000
08:17:07 006	Chargement/loading [ 4 ]
08:18:06 832	GC value sonde ON: 54.5%
08:18:11 216	GC value sonde OFF: 54.9%
08:20:19 089	Chargement/Loading [ 4 ] 904213846 6.1V 6356Hz TR=246Cx10:TC=250Cx10:KT=101578:UR=55%:UC=54%:KU=0000
08:20:39 791	Chargement/loading [ 5 ]
08:22:41 830	GC value sonde ON: 54.9%
08:22:45 964	GC value sonde OFF: 55.0%
08:24:51 669	Chargement/Loading [ 5 ] 904213936 6.2V 6432Hz TR=245Cx10:TC=246Cx10:KT=100422:UR=55%:UC=56%:KU=0000
08:24:52 324	Chargement/loading [ 6 ]
08:25:48 812	GC value sonde ON: 54.1%
08:25:53 570	GC value sonde OFF: 54.3%
08:26:44 862	Chargement/Loading [ 6 ] 904213906 6.3V 6425Hz TR=245Cx10:TC=245Cx10:KT=100177:UR=54%:UC=53%:KU=0000
08:26:45 549	Chargement/loading [ 7 ]
08:27:53 830	GC value sonde ON: 53.0%
08:27:58 276	GC value sonde OFF: 53.2%
