"Data"	"Sessio"	"Realitzat"	"Hora"	"Durada"	"Altitud"	"Pressio"	"Rellancaments"	"Fallida"	"Sondes"
2013-01-05	"mati"	"Si"	"12:28:15"	87	27958	15.1	0	"Correcte"	1
2013-01-05	"nit"	"Si"	"00:38:27"	97	27660	15.6	0	"Correcte"	1
2013-01-06	"mati"	"Si"	"12:26:58"	86	28515	13.7	0	"Correcte"	1
2013-01-06	"nit"	"Si"	"00:23:58"	83	25864	20.9	0	"Correcte"	1
2013-01-07	"mati"	"Si"	"12:32:00"	91	28023	14.8	0	"Correcte"	1
2013-01-07	"nit"	"Si"	"00:29:01"	88	27872	15.1	0	"Correcte"	1
2013-01-08	"mati"	"Si"	"12:31:05"	90	28257	14.1	0	"Correcte"	1
2013-01-08	"nit"	"Si"	"00:38:08"	97	27858	14.9	0	"Correcte"	1
2013-01-09	"mati"	"Si"	"12:34:04"	93	27379	16.1	0	"Correcte"	1
2013-01-09	"nit"	"Si"	"00:42:13"	101	28018	14.4	0	"Correcte"	1
2013-01-10	"mati"	"Si"	"12:36:12"	95	28784	12.7	0	"Correcte"	1
2013-01-10	"nit"	"Si"	"00:32:16"	91	26623	18	0	"Correcte"	1
2013-01-11	"mati"	"Si"	"12:51:19"	110	27000	17	0	"Correcte"	1
2013-01-11	"nit"	"Si"	"00:37:10"	96	26992	17	0	"Correcte"	1
2013-01-12	"mati"	"Si"	"12:27:09"	86	27916	14.7	0	"Correcte"	1
2013-01-12	"nit"	"Si"	"00:16:06"	75	20130	51.5	0	"Correcte"	1
2013-01-13	"mati"	"Si"	"12:20:24"	79	22448	35.7	0	"Correcte"	1
2013-01-13	"nit"	"Si"	"00:34:25"	93	25669	21.4	0	"Correcte"	1
2013-01-14	"mati"	"Si"	"12:17:05"	76	22580	35.2	0	"Correcte"	1
2013-01-14	"nit"	"Si"	"00:21:55"	81	25362	22.6	0	"Correcte"	1
2013-01-15	"mati"	"Si"	"12:52:28"	111	28557	13.6	0	"Correcte"	1
2013-01-15	"nit"	"Si"	"00:40:31"	99	26692	18.4	0	"Correcte"	1
2013-01-16	"mati"	"Si"	"12:35:45"	94	26185	20	0	"Correcte"	1
2013-01-16	"nit"	"Si"	"00:30:03"	89	27339	16.6	0	"Correcte"	1
2013-01-17	"mati"	"Si"	"12:31:00"	90	25066	23.9	0	"Correcte"	1
2013-01-17	"nit"	"Si"	"00:35:09"	94	25312	23	0	"Correcte"	1
2013-01-18	"mati"	"Si"	"12:37:23"	96	27328	16.6	0	"Correcte"	1
2013-01-18	"nit"	"Si"	"00:32:06"	91	26288	19.5	0	"Correcte"	1
2013-01-19	"mati"	"Si"	"12:11:43"	70	19366	59.2	0	"Correcte"	1
2013-01-19	"nit"	"Si"	"00:14:50"	74	20789	47	0	"Correcte"	1
2013-01-20	"mati"	"Si"	"12:55:38"	114	29320	12.3	0	"Correcte"	1
2013-01-20	"nit"	"Si"	"00:36:46"	90	23819	29	0	"Correcte"	1
2013-01-21	"mati"	"Si"	"12:48:28"	107	28618	13.6	0	"Correcte"	1
2013-01-21	"nit"	"Si"	"00:37:11"	96	26744	18.2	0	"Correcte"	1
2013-01-22	"mati"	"Si"	"12:35:12"	94	27977	15.1	0	"Correcte"	1
2013-01-22	"nit"	"Si"	"00:31:23"	89	13513	146.8	0	"Correcte"	1
2013-01-23	"mati"	"Si"	"12:19:22"	77	23881	28.6	0	"Correcte"	1
2013-01-23	"nit"	"Si"	"00:32:47"	91	25480	22.1	0	"Correcte"	1
2013-01-24	"mati"	"Si"	"12:21:25"	80	25353	22.5	0	"Correcte"	1
2013-01-24	"nit"	"Si"	"00:36:07"	95	27051	17.1	0	"Correcte"	1
2013-01-25	"mati"	"Si"	"12:06:54"	65	21547	41.2	0	"Correcte"	1
2013-01-25	"nit"	"Si"	"00:57:50"	88	26834	17.6	1	"B3 "	2
2013-01-26	"mati"	"Si"	"12:35:02"	94	28015	14.5	0	"Correcte"	1
2013-01-26	"nit"	"Si"	"00:31:04"	90	27225	16.5	0	"Correcte"	1
2013-01-27	"mati"	"Si"	"12:42:11"	101	26792	17.7	0	"Correcte"	1
2013-01-27	"nit"	"Si"	"00:29:04"	88	18911	63.2	0	"Correcte"	1
2013-01-28	"mati"	"Si"	"12:33:27"	92	28211	14.2	0	"Correcte"	1
2013-01-28	"nit"	"Si"	"00:36:06"	95	26463	18.7	0	"Correcte"	1
2013-01-29	"mati"	"Si"	"12:50:16"	109	30419	10.1	0	"Correcte"	1
2013-01-29	"nit"	"Si"	"00:29:01"	88	26890	17.6	0	"Correcte"	1
2013-01-30	"mati"	"Si"	"12:37:57"	97	29675	11.5	0	"Correcte"	1
2013-01-30	"nit"	"Si"	"00:14:48"	74	22263	37.1	0	"Correcte"	1
2013-01-31	"mati"	"Si"	"12:45:45"	104	28008	14.8	0	"Correcte"	1
2013-01-31	"nit"	"Si"	"00:01:37"	60	19136	68.1	0	"Correcte"	1
2013-02-01	"mati"	"Si"	"12:46:13"	105	28407	13.8	0	"Correcte"	1
2013-02-01	"nit"	"Si"	"00:26:12"	85	19179	59.3	0	"Correcte"	1
2013-02-02	"mati"	"Si"	"12:30:52"	89	25591	21	0	"Correcte"	1
2013-02-02	"nit"	"Si"	"00:36:28"	95	26968	16.7	0	"Correcte"	1
2013-02-03	"mati"	"Si"	"12:34:50"	93	27956	14.5	0	"Correcte"	1
2013-02-03	"nit"	"Si"	"00:45:16"	104	27670	15.1	0	"Correcte"	1
2013-02-04	"mati"	"Si"	"12:58:41"	92	27744	15	1	"B7 "	2
2013-02-04	"nit"	"Si"	"00:55:37"	114	28531	13.3	0	"Correcte"	1
2013-02-05	"mati"	"Si"	"12:54:22"	113	27999	14.4	0	"Correcte"	1
2013-02-05	"nit"	"Si"	"00:35:07"	94	28039	14.3	0	"Correcte"	1
2013-02-06	"mati"	"Si"	"12:29:14"	88	26732	17.5	0	"Correcte"	1
2013-02-06	"nit"	"Si"	"00:25:23"	84	24542	25	0	"Correcte"	1
2013-02-07	"mati"	"Si"	"12:39:32"	98	27781	14.8	0	"Correcte"	1
2013-02-07	"nit"	"Si"	"00:14:59"	74	24396	25.5	0	"Correcte"	1
2013-02-08	"mati"	"Si"	"12:24:12"	83	26736	17.6	0	"Correcte"	1
2013-02-08	"nit"	"Si"	"00:43:12"	102	26855	17.1	0	"Correcte"	1
2013-02-09	"mati"	"Si"	"12:36:21"	95	26918	16.9	0	"Correcte"	1
2013-02-09	"nit"	"Si"	"00:32:01"	91	25282	22.1	0	"Correcte"	1
2013-02-10	"mati"	"Si"	"12:43:13"	102	27895	14.6	0	"Correcte"	1
2013-02-10	"nit"	"Si"	"00:10:55"	69	19053	60.5	0	"Correcte"	1
2013-02-11	"mati"	"Si"	"12:29:21"	88	25814	20.4	0	"Correcte"	1
2013-02-11	"nit"	"Si"	"00:20:54"	80	23318	30.5	0	"Correcte"	1
2013-02-12	"mati"	"Si"	"12:29:02"	88	27700	15.2	0	"Correcte"	1
2013-02-12	"nit"	"Si"	"00:34:36"	93	26606	18.2	0	"Correcte"	1
2013-02-13	"mati"	"Si"	"12:24:27"	83	25289	22.5	0	"Correcte"	1
2013-02-13	"nit"	"Si"	"00:44:28"	103	27803	15.1	0	"Correcte"	1
2013-02-14	"mati"	"Si"	"12:45:31"	104	29292	12	0	"Correcte"	1
2013-02-14	"nit"	"Si"	"00:29:11"	88	26446	18.7	0	"Correcte"	1
2013-02-15	"mati"	"Si"	"12:59:15"	95	27684	15.3	1	"B3 "	2
2013-02-15	"nit"	"Si"	"00:48:18"	107	28518	13.4	0	"Correcte"	1
2013-02-16	"mati"	"Si"	"12:41:11"	100	28500	13.4	0	"Correcte"	1
2013-02-16	"nit"	"Si"	"00:42:11"	101	26666	17.8	0	"Correcte"	1
2013-02-17	"mati"	"Si"	"12:26:57"	86	24600	24.8	0	"Correcte"	1
2013-02-17	"nit"	"Si"	"00:36:06"	95	24800	24	0	"Correcte"	1
2013-02-18	"mati"	"Si"	"13:10:39"	129	30099	10.3	0	"Correcte"	1
2013-02-18	"nit"	"Si"	"00:32:06"	91	22578	34.4	0	"Correcte"	1
2013-02-19	"mati"	"Si"	"12:21:55"	81	23346	30.7	0	"Correcte"	1
2013-02-19	"nit"	"Si"	"00:40:10"	99	26445	18.4	0	"Correcte"	1
2013-02-20	"mati"	"Si"	"12:10:45"	69	21455	41.8	0	"Correcte"	1
2013-02-20	"nit"	"Si"	"00:39:09"	98	25922	20.2	0	"Correcte"	1
2013-02-21	"mati"	"Si"	"12:19:04"	78	24300	26.3	0	"Correcte"	1
2013-02-21	"nit"	"Si"	"00:37:06"	96	26119	19.5	0	"Correcte"	1
2013-02-22	"mati"	"Si"	"12:32:21"	81	23126	31.8	1	"B2 "	2
2013-02-22	"nit"	"Si"	"00:11:02"	69	19360	58.4	0	"Correcte"	1
2013-02-23	"mati"	"Si"	"12:43:32"	102	26929	17.4	0	"Correcte"	1
2013-02-23	"nit"	"Si"	"00:35:19"	94	27443	16.1	0	"Correcte"	1
2013-02-24	"mati"	"Si"	"12:25:50"	84	25553	21.8	0	"Correcte"	1
2013-02-24	"nit"	"Si"	"00:38:10"	97	24685	25.1	0	"Correcte"	1
2013-02-25	"mati"	"Si"	"12:26:59"	86	24671	25.2	0	"Correcte"	1
2013-02-25	"nit"	"Si"	"00:35:25"	94	25271	22.8	0	"Correcte"	1
2013-02-26	"mati"	"Si"	"12:15:14"	74	24016	28	0	"Correcte"	1
2013-02-26	"nit"	"Si"	"00:20:53"	80	23628	29.8	0	"Correcte"	1
2013-02-27	"mati"	"Si"	"12:31:18"	90	27662	15.5	0	"Correcte"	1
2013-02-27	"nit"	"Si"	"00:16:50"	76	13830	141.7	0	"Correcte"	1
2013-02-28	"mati"	"Si"	"12:02:28"	60	17923	74.5	0	"Correcte"	1
2013-02-28	"nit"	"Si"	"01:08:41"	127	17841	75.2	0	"Correcte"	1
2013-03-01	"mati"	"Si"	"12:37:07"	96	26099	19.7	0	"Correcte"	1
2013-03-01	"nit"	"Si"	"00:24:56"	84	25631	21.3	0	"Correcte"	1
2013-03-02	"mati"	"Si"	"12:28:58"	88	25019	23.6	0	"Correcte"	1
2013-03-02	"nit"	"Si"	"00:36:06"	95	27899	14.9	0	"Correcte"	1
2013-03-03	"mati"	"Si"	"12:35:59"	94	28365	13.9	1	"B12 "	2
2013-03-03	"nit"	"Si"	"00:27:59"	87	25950	20.5	0	"Correcte"	1
2013-03-04	"mati"	"Si"	"13:05:10"	96	29102	12.5	2	"B11 B12"	3
2013-03-04	"nit"	"Si"	"00:29:48"	88	19368	59	0	"Correcte"	1
2013-03-05	"mati"	"No"	NA	NA	NA	NA	1	"B5 B4"	2
2013-03-05	"nit"	"Si"	"00:53:10"	74	21344	42.8	1	"B10 "	2
2013-03-06	"mati"	"Si"	"12:06:02"	64	18230	71.6	0	"Correcte"	1
2013-03-06	"nit"	"Si"	"00:45:38"	104	28110	14.7	0	"Correcte"	1
2013-03-07	"mati"	"Si"	"12:38:04"	97	29034	12.6	0	"Correcte"	1
2013-03-07	"nit"	"Si"	"00:41:21"	100	27567	16	0	"Correcte"	1
2013-03-08	"mati"	"Si"	"12:40:22"	99	29191	12.4	0	"Correcte"	1
2013-03-08	"nit"	"Si"	"00:17:09"	76	22034	38.8	0	"Correcte"	1
2013-03-09	"mati"	"Si"	"12:40:35"	99	27940	15.1	0	"Correcte"	1
2013-03-09	"nit"	"Si"	"01:12:28"	97	26461	19	1	"B1 "	2
2013-03-10	"mati"	"Si"	"12:12:49"	71	20730	47.3	0	"Correcte"	1
2013-03-10	"nit"	"Si"	"00:27:58"	87	26545	18.8	0	"Correcte"	1
2013-03-11	"mati"	"Si"	"12:25:23"	84	24663	25.2	0	"Correcte"	1
2013-03-11	"nit"	"Si"	"00:31:07"	90	23988	28.1	0	"Correcte"	1
