"Data"	"Hora"	"Error"
2015-01-05	"23:20:42"	"End before 300 hPa 1112m 898.1hPa"
2015-01-31	"11:58:36"	"End before 300 hPa 5926m 456.6hPa"
2015-01-31	"23:44:36"	"End before 300 hPa 4268m 577.8hPa"
2015-02-02	"11:43:33"	"End before 300 hPa 6086m 455.7hPa"
2015-02-03	"11:13:15"	"End before 300 hPa 744m 909.9hPa"
2015-02-03	"11:46:27"	"End before 300 hPa 3904m 606.8hPa"
2015-02-17	"11:04:50"	"Analysis aborted (< 2 points) 1414m 864.2hPa"
2015-02-17	"23:41:41"	"End before 300 hPa 5086m 540.0hPa"
2015-02-25	"23:05:02"	"Analysis aborted (< 2 points) 1549m 710.5hPa"
2015-03-11	"11:14:59"	"End before 300 hPa 3363m 682.3hPa"
2015-05-06	"23:16:01"	"End before 300 hPa 3103m 702.3hPa"
2015-05-08	"23:15:04"	"End before 300 hPa 1330m 874.1hPa"
2015-05-08	"23:38:35"	"End before 300 hPa 1274m 879.8hPa"
2015-05-09	"11:19:01"	"End before 300 hPa 2077m 800.7hPa"
2015-05-09	"11:45:08"	"End before 300 hPa 1975m 811.0hPa"
2015-05-14	"11:22:05"	"End before 300 hPa 3303m 689.5hPa"
2015-05-14	"12:04:12"	"End before 300 hPa 7350m 407.2hPa"
2015-05-29	"23:40:18"	"End before 300 hPa 4314m 602.8hPa"
2015-06-07	"23:34:23"	"End before 300 hPa 3077m 709.7hPa"
2015-07-09	"23:29:10"	"End before 300 hPa 6459m 466.4hPa"
2015-07-15	"23:04:48"	"Analysis aborted (< 2 points) 1516m 707.0hPa"
2015-07-16	"11:28:07"	"Temperature faillure 8625m 299.2hPa"
2015-08-21	"11:22:59"	"Temperature faillure 6724m 388.2hPa"
2015-08-25	"23:28:24"	"Temperature faillure 8632m 298.6hPa"
2015-08-29	"11:23:07"	"End before 300 hPa 5858m 505.1hPa"
2015-08-31	"11:20:36"	"End before 300 hPa 2625m 749.4hPa"
2015-09-03	"23:03:56"	"No ICAR response"
2015-09-03	"23:14:53"	"No ICAR response"
2015-09-10	"11:21:05"	"End before 300 hPa 1400m 861.7hPa"
2015-09-17	"11:23:08"	"End before 300 hPa 889m 910.4hPa"
2015-10-26	"11:15:21"	"End before 300 hPa 1232m 878.0hPa"
2015-10-26	"11:38:03"	"End before 300 hPa 1178m 884.1hPa"
2015-10-26	"23:21:08"	"End before 300 hPa 3027m 704.7hPa"
2015-10-26	"23:58:00"	"End before 300 hPa 5168m 535.4hPa"
2015-11-05	"11:28:29"	"End before 300 hPa 5570m 514.4hPa"
2015-11-09	"23:39:20"	"End before 300 hPa 4473m 603.9hPa"
2015-11-21	"23:47:28"	"End before 150 hPa 7459m 377.0hPa"
2015-11-30	"23:15:07"	"End before 150 hPa 4417m 603.3hPa"
2015-12-04	"11:47:20"	"End before 150 hPa 6739m 444.0hPa"
2015-12-14	"11:19:55"	"End before 150 hPa 3044m 704.9hPa"
2016-01-08	"22:53:37"	"Valve ejected, sonde switched"
2016-01-14	"23:51:21"	"End before 150 hPa 12148m 187.9hPa"
2016-01-16	"23:02:23"	"No start detection by IR2010"
2016-01-18	"22:56:19"	"No GPS"
2016-01-18	"23:47:16"	"End before 150 hPa 9182m 292.6hPa"
2016-01-21	"00:07:36"	"End before 150 hPa 13070m 165.4hPa"
2016-01-21	"00:10:00"	"Valve ejected, sonde switched"
2016-01-28	"11:28:04"	"Temperature faillure 7265m 406.6hPa"
2016-01-28	"15:15:31"	"No ICAR response"
2016-02-11	"11:59:32"	"End before 150 hPa 13184m 158.6hPa"
2016-02-11	"23:56:48"	"End before 150 hPa 12612m 173.7hPa"
2016-02-11	"00:52:13"	"End before 150 hPa 10987m 223.5hPa"
